User ID,Age,Gender,Country,Purchase Amount,Purchase Date,Product Category
111,28.0,Other,Australia,267.38,2021-04-06,Home & Kitchen
112,68.0,Female,Australia,260.81,2022-04-18,Home & Kitchen
113,34.0,Female,Australia,313.79,2023-03-07,Home & Kitchen
114,25.0,Male,Australia,123.65,2022-01-06,Beauty
115,52.0,Female,Germany,9.88,2020-04-19,Home & Kitchen
116,52.0,Other,UK,230.11,2023-09-13,Clothing
117,50.0,Other,USA,40.35,2020-07-24,Electronics
118,22.0,Other,,,2022-12-30,Beauty
119,59.0,,Australia,,,Electronics
120,56.0,Female,USA,215.49,2020-07-03,Sports
121,58.0,Male,UK,219.83,2021-08-24,Books
122,45.0,Other,France,278.67,2022-01-28,Clothing
123,24.0,Female,Germany,392.35,2023-11-07,Books
124,26.0,Other,UK,,2022-01-14,Clothing
125,25.0,Female,USA,,2022-06-09,Clothing
126,29.0,Female,Canada,386.7,2021-02-02,Clothing
127,51.0,Male,Germany,45.68,2021-06-28,Electronics
128,,Female,USA,322.57,2022-06-25,Books
129,65.0,Other,,402.7,2021-11-12,Books
130,40.0,Female,UK,144.93,2022-09-04,Home & Kitchen
131,41.0,Other,USA,227.31,2020-11-09,Books
132,54.0,Male,Germany,,2020-08-15,
133,52.0,Other,Australia,402.92,2021-10-19,Sports
134,,Female,Germany,353.11,2023-03-15,Home & Kitchen
135,,Other,,,,Beauty
136,39.0,Other,,198.16,2021-11-22,Clothing
137,44.0,Female,Germany,349.18,2020-10-26,Electronics
138,52.0,Other,Canada,182.29,2022-07-15,Beauty
139,18.0,Female,Australia,85.4,2023-07-12,Clothing
140,52.0,Male,,261.66,2022-12-09,Sports
141,54.0,Other,UK,363.17,2022-01-11,Beauty
142,64.0,Male,UK,163.8,2023-10-30,Electronics
143,31.0,Other,France,65.28,2020-03-01,
144,20.0,Other,France,415.62,2022-11-08,Beauty
145,18.0,Male,Germany,,2020-11-03,Clothing
146,22.0,Other,USA,258.84,2021-06-20,Electronics
147,43.0,Other,USA,347.21,2023-05-15,Sports
148,31.0,Male,Canada,161.95,2023-09-10,Beauty
149,56.0,Other,Australia,326.08,2020-03-15,Home & Kitchen
150,44.0,Female,USA,232.56,2023-12-12,Books
151,26.0,Other,Canada,287.37,2023-09-13,Clothing
152,32.0,Other,Canada,297.34,2023-07-28,Home & Kitchen
153,32.0,Other,UK,,2023-01-03,Sports
154,,Male,UK,329.88,2021-08-16,Sports
155,59.0,Female,Australia,135.83,2021-08-31,Beauty
156,,Female,Germany,34.5,2021-09-03,Beauty
157,,Other,,5.98,2022-10-17,Electronics
158,49.0,Male,France,452.69,2022-02-23,Home & Kitchen
159,56.0,Male,Australia,471.34,2020-08-28,Sports
160,66.0,Female,Canada,51.59,2020-01-05,Electronics
161,69.0,Male,Australia,246.09,2023-05-23,Books
162,49.0,Other,France,80.04,2021-05-01,Books
163,21.0,Other,Canada,474.63,2020-12-22,Electronics
164,47.0,Male,France,127.18,2021-01-28,Home & Kitchen
165,54.0,Other,Germany,253.32,2023-03-24,Electronics
166,40.0,Female,UK,86.98,2023-11-15,Beauty
167,56.0,Other,UK,169.72,2021-01-03,Electronics
168,62.0,Male,Canada,137.07,2020-01-29,Home & Kitchen
169,32.0,Female,Australia,240.34,2023-12-17,Books
170,60.0,Other,France,212.79,2022-08-23,Sports
171,46.0,Female,USA,168.74,2020-01-09,Books
172,53.0,Male,Germany,57.41,2023-05-08,Beauty
173,30.0,Other,France,244.82,2020-11-29,Home & Kitchen
174,49.0,Other,USA,425.85,2022-08-07,Clothing
175,24.0,Female,Germany,,2020-08-17,Home & Kitchen
176,68.0,Other,Germany,361.68,,Books
177,39.0,Other,UK,186.22,2023-08-24,Books
178,45.0,Other,Canada,355.67,2023-09-16,Home & Kitchen
179,19.0,Other,France,235.44,2022-02-17,Home & Kitchen
180,59.0,Male,Germany,79.39,2023-10-15,Home & Kitchen
181,62.0,Other,France,212.43,2023-04-21,Books
182,,Female,Germany,70.71,2021-01-21,Beauty
183,45.0,Male,Australia,61.67,2020-04-18,
184,45.0,Female,UK,16.41,2020-12-04,Clothing
185,61.0,Female,Canada,145.01,2023-05-08,Electronics
186,61.0,Female,USA,,2023-04-19,Beauty
187,,Male,USA,351.22,2021-07-18,Books
188,,Male,Australia,271.31,2023-12-31,Electronics
189,28.0,Male,UK,429.93,2022-04-12,Home & Kitchen
190,45.0,Other,Germany,92.35,2022-11-29,Sports
191,42.0,Female,UK,136.65,2020-08-09,Home & Kitchen
192,56.0,Male,Canada,470.83,2020-10-23,Clothing
193,50.0,Female,USA,224.8,2022-11-18,Home & Kitchen
194,18.0,Male,France,395.58,2022-07-15,Sports
195,,Male,USA,248.62,2023-05-10,Books
196,69.0,Male,Canada,238.19,2022-09-21,Electronics
197,30.0,Female,Germany,78.32,2022-09-15,Home & Kitchen
198,,,UK,426.34,2021-04-29,Beauty
199,20.0,Male,USA,,2020-05-09,Electronics
200,56.0,Male,USA,158.58,2020-02-17,Clothing
201,23.0,Male,France,338.37,2022-04-06,Beauty
202,25.0,,,256.09,2023-12-10,Beauty
203,44.0,Female,France,441.28,2021-08-22,Electronics
204,26.0,Female,,24.45,2022-02-08,Clothing
205,54.0,Female,Germany,,2021-07-24,Clothing
206,50.0,Female,USA,,2021-04-01,Beauty
207,68.0,Male,Australia,,2022-12-08,Home & Kitchen
208,59.0,Other,UK,372.91,2021-12-28,Beauty
209,61.0,Male,Germany,208.6,2023-01-04,Beauty
210,41.0,Other,Australia,268.13,2023-06-25,Beauty
211,32.0,Female,Germany,483.8,2020-10-16,Sports
212,49.0,Other,Germany,,2021-06-18,Electronics
213,49.0,Male,Canada,412.57,2021-03-11,Clothing
214,41.0,Male,Canada,,2022-04-07,Clothing
215,58.0,Female,Germany,333.06,2023-11-07,Clothing
216,69.0,Male,Canada,448.92,,Books
217,66.0,Male,UK,129.54,2020-09-07,Beauty
218,66.0,Other,,411.28,,Electronics
219,,Male,Australia,192.0,2022-07-12,Electronics
220,29.0,Female,UK,407.18,2020-10-31,Clothing
221,56.0,Female,USA,249.43,2021-07-10,Electronics
222,19.0,Male,Canada,,,Electronics
223,20.0,Female,Australia,447.95,2022-09-17,Books
224,66.0,Other,UK,,2020-05-11,Clothing
225,54.0,,France,256.28,2023-11-26,
226,,Male,Germany,392.72,2022-10-03,Sports
227,,Male,USA,137.16,2021-01-10,Clothing
228,66.0,Other,USA,12.6,2021-11-17,Electronics
229,19.0,Female,France,206.51,2021-01-05,Books
230,19.0,Male,France,256.35,2023-12-06,Beauty
231,45.0,Male,Germany,152.15,2020-06-03,Sports
232,40.0,Female,Canada,194.76,2020-09-01,Home & Kitchen
233,54.0,Male,UK,70.86,2021-06-25,
234,49.0,Female,UK,142.26,2021-11-12,Beauty
235,50.0,Female,UK,123.85,2023-01-03,Sports
236,18.0,Female,Canada,153.99,2023-05-14,Home & Kitchen
237,36.0,Female,Germany,153.03,2022-06-15,Sports
238,19.0,Female,UK,281.69,2023-12-22,Beauty
239,,Other,USA,129.05,,Beauty
240,43.0,Female,USA,470.78,2023-12-15,Electronics
241,49.0,Other,USA,258.08,2021-11-03,Home & Kitchen
242,23.0,Female,France,,2023-03-18,Home & Kitchen
243,49.0,Male,France,143.41,2020-03-28,Sports
244,21.0,Other,Canada,366.23,2023-04-06,Electronics
245,28.0,Male,UK,11.76,2023-04-27,
246,34.0,Female,,,2023-02-11,Clothing
247,55.0,Female,USA,,2020-01-13,Clothing
248,41.0,Male,France,262.93,2022-05-30,Electronics
249,,Female,USA,494.26,2022-09-20,Beauty
250,69.0,Male,UK,254.18,,
251,51.0,Female,,474.13,2023-04-19,Beauty
252,23.0,,Germany,458.04,2020-11-15,Sports
253,,Other,Germany,470.95,2020-10-18,Books
254,28.0,Male,USA,407.12,,Books
255,65.0,Female,France,151.72,2022-02-11,Clothing
256,33.0,Male,France,176.46,2022-04-19,Home & Kitchen
257,50.0,Other,USA,185.67,2022-07-12,Books
258,26.0,Male,UK,489.69,2023-12-27,Home & Kitchen
259,23.0,Other,USA,183.57,2023-04-07,Home & Kitchen
260,33.0,Male,UK,58.8,2021-02-05,Beauty
261,46.0,Male,Canada,390.27,2020-06-06,Beauty
262,20.0,Other,Canada,186.2,2021-01-18,Beauty
263,37.0,Female,USA,312.36,2021-02-01,Electronics
264,53.0,Female,Canada,462.56,2020-02-25,Books
265,36.0,Female,France,289.88,2023-01-01,Books
266,43.0,Male,UK,320.66,2022-08-27,Home & Kitchen
267,20.0,Male,Germany,323.22,2022-01-29,Home & Kitchen
268,36.0,Female,Germany,308.14,2021-04-17,Beauty
269,37.0,Male,Canada,84.09,2023-04-18,Electronics
270,49.0,Male,UK,230.93,2020-07-12,
271,24.0,Female,France,8.79,2022-03-07,Sports
272,69.0,Other,Germany,,2023-11-08,
273,,Male,France,289.8,,
274,50.0,Male,France,162.48,2023-06-06,Beauty
275,57.0,Male,Germany,264.33,2022-03-05,Books
276,56.0,Male,Germany,,2022-04-15,Electronics
277,35.0,Other,Canada,129.2,,Electronics
278,57.0,Female,UK,150.18,2020-09-22,Sports
279,18.0,Male,USA,382.46,2022-03-04,Home & Kitchen
280,28.0,Female,UK,,2022-12-30,Books
281,45.0,Male,USA,237.54,2020-03-31,Home & Kitchen
282,42.0,Other,,360.17,2023-01-04,Books
283,67.0,Female,France,228.15,2021-03-20,Electronics
284,40.0,Other,UK,426.43,2023-05-05,Beauty
285,48.0,Male,France,169.74,2023-04-22,Electronics
286,47.0,Other,UK,,2020-03-17,Electronics
287,59.0,Other,Australia,273.43,2023-08-13,
288,52.0,Male,,270.17,2023-11-12,Books
289,24.0,Male,France,337.05,2020-11-17,Electronics
290,33.0,Female,Australia,173.72,2021-02-24,Beauty
291,43.0,Male,,363.54,2021-06-29,Sports
292,65.0,Female,Germany,163.61,2023-08-22,Home & Kitchen
293,69.0,Other,Canada,201.78,2020-12-11,Sports
294,66.0,Other,Canada,338.98,2021-12-15,Sports
295,19.0,Female,UK,,2021-12-25,Clothing
296,18.0,Male,Germany,103.99,2021-10-11,
297,65.0,Male,Australia,436.59,,Clothing
298,29.0,Other,UK,461.47,2023-10-01,Beauty
299,22.0,Female,USA,,2021-10-20,Books
300,54.0,Other,UK,406.52,2020-05-28,Sports
301,49.0,Other,Australia,493.39,2021-02-21,Sports
302,26.0,Male,France,309.31,2022-11-18,Sports
303,58.0,Female,UK,454.85,2022-02-04,Sports
304,52.0,Other,USA,,2023-04-27,Clothing
305,36.0,Male,UK,,2020-03-05,Books
306,65.0,Other,Australia,32.62,2021-11-06,Clothing
307,33.0,Other,USA,395.54,2020-08-11,Sports
308,20.0,Male,Germany,415.75,2021-04-20,Books
309,37.0,Male,Australia,,2020-11-21,Home & Kitchen
310,41.0,Female,UK,321.28,2023-04-30,Clothing
311,50.0,Other,USA,429.89,2020-03-28,Electronics
312,41.0,Female,Australia,442.39,2020-06-06,Home & Kitchen
313,69.0,Male,Germany,57.73,2023-07-20,Home & Kitchen
314,28.0,Male,France,414.61,,Sports
315,66.0,Other,Canada,140.75,2023-09-17,Sports
316,25.0,Female,USA,365.02,2020-10-08,Home & Kitchen
317,53.0,Female,France,165.96,,Clothing
318,55.0,Other,Germany,32.88,2020-06-11,Books
319,57.0,Other,France,,2023-04-12,Clothing
320,37.0,Female,UK,207.29,2023-02-05,Clothing
321,52.0,Male,Canada,371.91,2022-06-19,Home & Kitchen
322,65.0,Male,USA,54.85,2023-08-17,Clothing
323,42.0,Other,Australia,407.4,2020-11-26,Books
324,52.0,Female,Germany,498.49,2020-05-23,Home & Kitchen
325,42.0,Female,Canada,395.19,2022-12-17,Clothing
326,,Female,Germany,239.5,2023-08-14,Sports
327,35.0,Male,France,286.24,2023-04-26,Beauty
328,63.0,Male,Germany,8.05,2021-03-15,Clothing
329,35.0,Female,,108.59,2021-05-02,Beauty
330,19.0,Female,France,450.0,2023-11-14,Beauty
331,52.0,Other,,15.76,2022-11-09,Beauty
332,,Other,,452.87,2023-05-20,Home & Kitchen
333,58.0,Female,USA,,2021-06-19,Home & Kitchen
334,53.0,Female,France,70.87,2022-08-20,Beauty
335,50.0,Male,Canada,91.8,2021-12-28,Sports
336,21.0,Female,Germany,400.7,2021-10-11,Home & Kitchen
337,50.0,Other,Germany,241.7,2021-10-26,Beauty
338,31.0,Male,Australia,76.87,,Beauty
339,38.0,Other,,344.97,2022-09-04,Electronics
340,65.0,Other,France,470.64,2022-05-23,Home & Kitchen
341,37.0,Male,Canada,288.36,2020-06-21,Clothing
342,25.0,Other,Australia,53.86,2022-08-31,Books
343,24.0,Female,Canada,,2020-01-01,Clothing
344,20.0,Other,USA,398.96,2022-11-14,Home & Kitchen
345,34.0,Male,Australia,314.91,,Beauty
346,50.0,Male,Canada,461.72,2022-05-29,Electronics
347,65.0,Male,France,275.89,2023-05-09,Clothing
348,29.0,Other,Canada,35.89,2022-07-26,Books
349,68.0,,UK,204.82,2023-04-29,Beauty
350,39.0,Male,Germany,330.71,,Clothing
351,39.0,Female,Germany,195.52,2021-02-12,Sports
352,63.0,Male,Australia,499.8,2023-08-20,Electronics
353,47.0,Female,Canada,205.66,2022-01-13,Home & Kitchen
354,55.0,Female,Canada,275.39,2021-07-31,Clothing
355,55.0,Female,Canada,116.57,2020-03-22,Clothing
356,62.0,Male,Canada,80.31,2021-08-25,Clothing
357,68.0,Other,UK,324.43,2021-06-30,Clothing
358,25.0,Other,France,296.36,,Books
359,44.0,Other,UK,7.15,2020-06-25,Sports
360,44.0,Female,UK,145.97,2021-10-17,Beauty
361,51.0,Male,UK,323.57,2023-05-23,Sports
362,38.0,Female,Germany,407.06,2022-09-14,Electronics
363,47.0,Male,UK,159.62,2020-05-20,Electronics
364,50.0,Female,Canada,325.48,2020-09-24,
365,45.0,Male,UK,136.3,2020-05-18,Sports
366,64.0,Male,Canada,346.74,2022-12-06,Electronics
367,50.0,Male,Australia,350.48,2022-12-19,Home & Kitchen
368,22.0,Female,France,69.46,2021-07-14,Sports
369,65.0,Other,Germany,334.22,2022-12-20,Clothing
370,36.0,Female,,170.12,2023-01-23,Sports
371,21.0,Female,Australia,90.43,2021-12-31,Home & Kitchen
372,52.0,Male,France,252.68,2020-02-09,Clothing
373,66.0,Male,Germany,,2023-10-01,Sports
374,34.0,Other,Canada,,2023-09-12,Clothing
375,,Other,Australia,46.84,2021-03-12,Clothing
376,45.0,Male,Australia,395.93,,Books
377,47.0,Other,Canada,57.51,2022-01-13,Home & Kitchen
378,,Other,Canada,107.69,2023-05-19,Books
379,63.0,Male,Germany,260.36,2020-02-07,Sports
380,23.0,Female,UK,234.27,2021-04-12,Beauty
381,52.0,Other,USA,494.49,2020-11-12,Clothing
382,58.0,Male,UK,296.79,2023-05-19,Sports
383,54.0,Other,UK,167.08,2023-01-11,Sports
384,41.0,Other,France,450.57,2023-10-11,Beauty
385,46.0,Male,USA,159.55,2021-09-21,Books
386,,Other,Canada,140.52,2022-03-25,Sports
387,63.0,Other,UK,249.71,2021-06-22,Home & Kitchen
388,48.0,Other,Germany,457.02,2020-07-27,Clothing
389,52.0,Female,UK,,2023-07-23,Electronics
390,50.0,Female,Canada,340.35,2021-05-06,Beauty
391,69.0,Other,UK,364.41,,Home & Kitchen
392,38.0,Male,Australia,331.52,2021-08-06,Electronics
393,49.0,Other,France,381.1,2020-02-27,Beauty
394,40.0,Other,France,100.42,2023-08-12,
395,50.0,Female,UK,,2021-01-30,Books
396,20.0,Female,France,184.27,2023-10-29,Electronics
397,35.0,Female,Germany,426.23,2022-12-21,Clothing
398,42.0,Other,USA,358.65,2020-03-27,Books
399,59.0,Other,UK,285.4,2021-09-02,
400,48.0,Male,Germany,,2023-11-23,Home & Kitchen
401,20.0,Other,Australia,121.72,2023-02-21,Home & Kitchen
402,,Other,Germany,402.74,2021-10-07,Beauty
403,63.0,Female,Germany,125.03,2020-10-09,Sports
404,41.0,,Australia,,2021-05-28,Books
405,67.0,Female,Canada,96.39,2022-06-20,Books
406,49.0,Female,UK,305.15,,Books
407,64.0,Female,,315.96,2020-06-05,Clothing
408,39.0,Male,UK,377.22,2020-08-13,
409,40.0,Male,USA,221.98,2022-04-12,
410,19.0,Male,Germany,318.17,2023-11-18,Beauty
411,44.0,Female,UK,,2020-09-22,Home & Kitchen
412,59.0,Female,France,473.93,2023-07-13,Sports
413,19.0,Female,Canada,263.33,2023-08-04,Electronics
414,43.0,Male,Australia,108.75,,Sports
415,34.0,Female,Australia,335.61,2023-09-05,Sports
416,57.0,Male,USA,276.49,2021-04-17,Beauty
417,50.0,Female,Australia,402.9,2021-02-02,Sports
418,26.0,Other,Canada,92.57,2023-01-01,Electronics
419,60.0,Male,Germany,134.17,2021-06-11,Clothing
420,65.0,Other,Australia,461.21,2023-01-11,Home & Kitchen
421,56.0,Male,Australia,,2020-06-22,
422,46.0,Female,,,2022-06-08,Electronics
423,59.0,Female,Germany,28.64,2023-12-22,Home & Kitchen
424,43.0,Other,UK,156.74,2020-10-17,Clothing
425,52.0,Female,Canada,127.33,,Home & Kitchen
426,67.0,Male,Australia,210.27,2021-07-16,Clothing
427,42.0,Female,France,162.31,2023-10-18,Electronics
428,41.0,Female,,415.35,2020-07-04,Electronics
429,30.0,Male,USA,6.5,2022-10-25,Home & Kitchen
430,24.0,Other,France,324.09,2023-07-09,Beauty
431,53.0,,USA,333.81,2020-06-27,Home & Kitchen
432,62.0,Female,Australia,332.01,2023-03-11,Sports
433,37.0,Male,France,262.69,2023-07-15,Sports
434,18.0,Other,,307.5,2021-09-17,Home & Kitchen
435,25.0,Other,Canada,406.19,2021-04-14,Sports
436,63.0,Female,,393.18,2022-10-01,Home & Kitchen
437,33.0,Male,Germany,22.14,2022-09-27,Books
438,31.0,Other,France,20.07,2022-12-27,Sports
439,29.0,Female,France,420.28,2020-04-16,Home & Kitchen
440,68.0,Female,USA,289.49,2021-07-24,Books
441,40.0,Female,France,478.93,2023-12-31,Sports
442,32.0,Female,Canada,218.64,2022-11-20,Electronics
443,45.0,Other,France,92.49,,Home & Kitchen
444,51.0,Male,Germany,239.25,2021-10-16,Electronics
445,19.0,Female,Germany,221.09,2020-02-11,Beauty
446,49.0,Female,Canada,261.0,2023-04-25,Sports
447,40.0,Other,Canada,404.93,2021-08-19,Beauty
448,,Female,Canada,329.51,2022-05-13,Books
449,,Female,France,96.71,2022-04-27,Home & Kitchen
450,42.0,Male,France,368.57,2023-08-17,Books
451,39.0,Female,,297.99,2020-09-17,Electronics
452,39.0,Other,Australia,,2021-11-01,Home & Kitchen
453,,Male,Australia,340.74,2021-11-26,Beauty
454,69.0,Other,USA,284.16,2023-07-04,Electronics
455,59.0,Male,France,231.47,2022-04-08,Electronics
456,23.0,Male,UK,321.99,2022-12-26,Books
457,32.0,Female,UK,363.24,2020-08-07,Beauty
458,60.0,Female,Germany,116.75,2023-09-08,Sports
459,54.0,Female,France,251.04,2022-05-13,Beauty
460,50.0,Other,UK,231.8,2022-12-18,Electronics
461,,Female,Germany,24.75,2023-04-16,Electronics
462,61.0,Female,USA,418.05,2021-04-05,Clothing
463,61.0,Male,Germany,191.8,,Books
464,22.0,Female,USA,40.98,2023-02-09,Electronics
465,56.0,Female,Australia,231.66,2023-09-09,Beauty
466,21.0,Female,,84.93,2020-06-30,Clothing
467,23.0,Female,Canada,353.69,2021-04-10,Books
468,62.0,Male,Canada,288.03,2020-08-11,Home & Kitchen
469,49.0,Female,Germany,138.71,2021-02-01,Sports
470,69.0,Male,Canada,475.48,2023-03-29,Books
471,47.0,Other,France,149.41,2021-03-29,Electronics
472,,Female,Germany,279.72,2020-12-28,
473,,Female,UK,401.78,2022-02-14,Clothing
474,57.0,Female,France,259.38,2021-11-05,Home & Kitchen
475,69.0,Male,Germany,480.62,2020-01-03,Clothing
476,,Female,Australia,422.71,2021-08-15,Electronics
477,30.0,Female,USA,460.9,2021-11-21,Books
478,67.0,Other,Canada,,2023-10-15,Home & Kitchen
479,59.0,Male,Canada,276.44,2022-04-28,Sports
480,47.0,Male,Canada,420.88,2023-08-31,Sports
481,36.0,Other,Germany,452.23,2021-08-28,Electronics
482,34.0,,France,472.46,2021-12-29,Home & Kitchen
483,36.0,Female,USA,440.18,2020-01-22,Home & Kitchen
484,45.0,Female,Canada,366.72,2021-02-24,Electronics
485,43.0,Other,France,16.99,2023-02-23,Beauty
486,54.0,Male,UK,160.9,2023-11-29,Home & Kitchen
487,43.0,Male,Australia,,2020-09-24,Clothing
488,40.0,Male,UK,81.61,2021-09-06,Clothing
489,26.0,,USA,149.0,2021-07-21,Electronics
490,29.0,Female,Canada,42.0,2022-01-08,Electronics
491,,Other,UK,,2023-02-03,Clothing
492,,Female,Australia,478.7,2021-10-17,Books
493,64.0,Other,France,159.41,2021-06-28,Electronics
494,51.0,Female,France,84.06,2020-06-19,Clothing
495,49.0,Male,UK,360.56,2020-10-31,
496,65.0,Male,,415.11,2020-11-29,Books
497,42.0,Male,Australia,160.45,,Beauty
498,57.0,Other,USA,142.86,2021-02-03,Clothing
499,62.0,Other,Canada,124.67,2023-04-06,Beauty
500,18.0,Other,Germany,,2022-08-20,Clothing
501,33.0,Male,UK,48.18,2022-05-24,Home & Kitchen
502,56.0,Female,,336.22,2022-08-15,Books
503,22.0,Male,UK,412.0,2022-05-07,Sports
504,39.0,Male,USA,333.52,2020-11-30,Home & Kitchen
505,46.0,Female,Canada,213.49,2023-03-24,Home & Kitchen
506,20.0,,Australia,148.04,2022-01-21,Books
507,29.0,Female,,207.68,2021-09-21,Books
508,,Female,UK,214.8,,Books
509,33.0,Male,,334.68,2020-03-21,Electronics
510,68.0,Other,Germany,464.39,2022-06-28,Clothing
511,54.0,Male,Australia,39.94,2021-03-25,Beauty
512,39.0,Female,Australia,,2022-10-19,Clothing
513,46.0,Other,Canada,,2022-07-11,Clothing
514,31.0,Other,Canada,63.28,2023-08-26,Books
